#depth [mm]	Age [ka]	ageerr [ka]	d18O [permil]
43	108554	206	-9.15
42.75	108570	207	-8.96
42.5	108586	207	-8.89
42.25	108602	208	-9.22
42	108619	208	-9.55
41.75	108635	208	-9.44
41.5	108651	209	-9.27
41.25	108667	209	-9.31
41	108683	209	-9.34
40.75	108699	209	-9.17
40.5	108716	209	-9.13
40.25	108732	209	-9.45
40	108748	210	-9.29
39.75	108764	210	-9.23
39.5	108780	210	-9.39
39.25	108797	210	-9.9
39	108814	210	-10.71
38.75	108830	210	-11.16
38.5	108846	210	-11.15
38.25	108863	210	-11.08
38	108879	210	-10.87
37.75	108895	210	-11.31
37.5	108912	210	-11.25
37.25	108928	210	-11.07
37	108945	210	-10.99
36.75	108962	210	-11.12
36.5	108982	212	-11.02
36.25	109002	214	-11.03
36	109022	217	-11.09
35.75	109042	219	-11.15
35.5	109062	220	-11.46
35.25	109082	222	-11.4
35	109102	224	-11.43
34.75	109122	225	-11.36
34.5	109142	226	-11.19
34.25	109162	227	-10.81
34	109182	228	-11.2
33.75	109203	229	-11.41
33.5	109223	230	-11.12
33.25	109243	230	-11.38
33	109263	231	-11.28
32.75	109283	231	-11.2
32.5	109303	231	-11.23
32.25	109323	231	-11.12
32	109343	230	-11.09
31.75	109363	230	-11.15
31.5	109384	230	-11.15
31.25	109402	228	-10.94
31	109421	227	-10.82
30.75	109440	225	-10.76
30.5	109463	228	-10.72
30.25	109487	230	-10.91
30	109510	232	-11.01
29.75	109532	234	-10.96
29.5	109554	235	-10.79
29.25	109576	236	-10.7
29	109598	237	-10.7
28.75	109620	237	-10.8
28.5	109642	238	-10.8
28.25	109664	239	-10.68
28	109683	240	-10.73
27.75	109703	241	-10.65
27.5	109723	243	-10.72
27.25	109742	244	-10.82
27	109762	245	-10.85
26.75	109782	246	-10.96
26.5	109801	247	-11
26.25	109821	248	-11.01
26	109841	249	-10.93
25.75	109861	249	-10.87
25.5	109881	250	-10.73
25.25	109900	250	-10.69
25	109920	250	-10.68
24.75	109939	251	-10.73
24.5	109959	251	-10.72
24.25	109979	250	-10.95
24	109999	250	-10.97
23.75	110018	250	-11
23.5	110038	250	-10.95
23.25	110058	249	-11.04
23	110078	249	-10.92
22.75	110097	248	-10.95
22.5	110117	248	-10.93
22.25	110133	250	-10.78
22	110149	251	-10.95
21.75	110165	253	-10.99
21.5	110182	255	-11.04
21.25	110198	257	-10.98
21	110214	259	-10.99
20.75	110230	261	-10.87
20.5	110246	263	-10.78
20.25	110262	265	-10.67
20	110278	267	-10.65
19.75	110294	269	-10.7
19.5	110310	271	-10.6
19.25	110326	273	-10.44
19	110342	274	-10.32
18.75	110358	276	-10.32
18.5	110375	278	-10.17
18.25	110391	280	-10.03
18	110407	281	-10.07
17.75	110423	283	-10.07
17.5	110439	284	-10.24
17.25	110455	286	-10.05
17	110471	287	-9.94
16.75	110487	288	-9.98
16.5	110504	290	-10.01
16.25	110520	291	-10
16	110536	293	-10.04
15.75	110552	294	-10.02
15.5	110568	296	-9.97
15.25	110584	297	-9.98
15	110600	299	-10.01
14.75	110616	300	-9.97
14.5	110632	301	-9.99
14.25	110649	307	-10.01
14	110667	313	-9.9
13.75	110684	318	-9.8
13.5	110702	324	-9.84
13.25	110720	330	-9.81
13	110737	336	-9.79
12.75	110755	341	-9.68
12.5	110772	347	-9.6
12.25	110790	353	-9.48
12	110807	358	-9.49
11.75	110825	364	-9.49
11.5	110842	369	-9.67
11.25	110860	375	-9.89
11	110878	380	-9.98
10.75	110895	386	-10.14
10.5	110912	392	-10.06
10.25	110929	397	-10.16
10	110947	403	-10.15
9.75	110965	408	-10.2
9.5	110982	414	-10.14
9.25	111000	419	-9.98
9	111018	424	-9.93
8.75	111035	430	-10.07
8.5	111052	435	-10
8.25	111070	440	-10.03
8	111087	446	-9.79
7.75	111105	451	-9.68
7.5	111122	456	-9.42
7.25	111140	462	-9.64
7	111157	467	-9.81
6.75	111175	472	-9.91
6.5	111192	478	-9.8
6.25	111210	483	-9.58
6	111227	488	-9.54
5.75	111245	493	-9.49
5.5	111262	499	-9.13
5.25	111279	504	-9.02
5	111297	509	-9.18
4.75	111315	515	-9.49
			



