# DESCRIPTION:
# Reference: Rasmussen, S.O., Bigler, M., Blockley, S.P., Blunier, T., Buchardt, S.L., Clausen, H.B., Cvijanovic, I., Dahl-Jensen, D., Johnsen, S.J., Fischer, H., Gkinis, V., Guillevic, M., Hoek, W.Z., Lowe, J.J., Pedro, J.B., Popp, T., Seierstad, I.K., Steffensen, J.P., Svensson, A.M., Vallelonga, P., Vinther, B.M., Walker, M.J.C., Wheatley, J.J., Winstrup, M., 2014. A stratigraphic framework for abrupt climatic changes during the Last Glacial period based on three synchronized Greenland ice-core records: refining and extending the INTIMATE event stratigraphy. Quaternary Science Reviews 106, 14-28, https://doi.org/10.1016/j.quascirev.2014.09.007
# Data from: https://www.iceandclimate.nbi.ku.dk/data/. Accessed 28 Oct 2022.
# Comment: NGRIP1 and NGRIP2 were combined, double dates were removed, years were converted to kyr

Age [kyr b2k] (GICC05),δ18O [‰],Ca2+ [ppb]
19.65,-41.82,212.87
19.67,-39.93,185.28
19.69,-41.51,232.33
19.71,-42.02,205.38
19.73,-41.47,268.89
19.75,-41.37,193.78
19.77,-41.63,264.87
19.79,-42.81,254.57
19.81,-43.04,272.73
19.83,-41.38,210.16
19.85,-40.2,161.32
19.87,-40.71,167.63
19.89,-41.41,307.13
19.91,-40.66,224.09
19.93,-41.6,159.4
19.95,-42.6,217.91
19.97,-42.16,201.31
19.99,-42.64,252.23
20.01,-42.01,222.31
20.03,-41.64,189.26
20.05,-42.77,269.87
20.07,-42.71,254.44
20.09,-41.33,282.02
20.11,-42.67,215.69
20.13,-41.99,207.49
20.15,-42.62,188.64
20.17,-42.18,159.38
20.19,-42.79,182.73
20.21,-40.35,151.07
20.23,-41.41,153.01
20.25,-42.48,183.83
20.27,-42.52,227.96
20.29,-41.9,223.56
20.31,-42.4,158.25
20.33,-43.15,202.61
20.35,-41.89,180.31
20.37,-43.09,251.67
20.39,-44.55,279.46
20.41,-42.45,301.75
20.43,-43.2,332.02
20.45,-43.51,221.22
20.47,-42.01,217.6
20.49,-41.93,230.45
20.51,-43.2,204.04
20.53,-43.36,231.71
20.55,-44.96,307.72
20.57,-42.54,212.73
20.59,-42.01,196.06
20.61,-41.92,145.8
20.63,-42.42,166.49
20.65,-40.62,200.3
20.67,-40.06,129.39
20.69,-43.6,225.71
20.71,-42.11,178.03
20.73,-39.96,176.89
20.75,-42.73,211.75
20.77,-42.4,228.78
20.79,-42.98,274.94
20.81,-40.69,238.69
20.83,-43.37,227.27
20.85,-42.53,209.3
20.87,-42.1,234.29
20.89,-43.3,292.54
20.91,-42.24,281.37
20.93,-43.94,272.66
20.95,-42.94,223.48
20.97,-43.11,260.93
20.99,-44.82,290.71
21.01,-43.49,216.74
21.03,-42.53,213.5
21.05,-42.27,271.36
21.07,-43.66,310.84
21.09,-43.27,221.47
21.11,-42.69,301.72
21.13,-41.84,258.33
21.15,-42.07,257.41
21.17,-41.91,253.61
21.19,-43.89,293.87
21.21,-42.88,279.3
21.23,-43.89,304.99
21.25,-42.6,255.7
21.27,-42.67,220.26
21.29,-41.03,246.22
21.31,-41.95,236.51
21.33,-42.43,
21.35,-43.84,282.14
21.37,-42.06,242.85
21.39,-42.53,289.35
21.41,-43.75,319.69
21.43,-41.22,275.32
21.45,-42.39,255.42
21.47,-43.02,309.38
21.49,-44.59,336.75
21.51,-41.84,301.75
21.53,-42.03,289.69
21.55,-42.88,279.79
21.57,-42.08,281.84
21.59,-41.04,328.45
21.61,-42.84,324.11
21.63,-41.93,283.66
21.65,-43.38,317.87
21.67,-42.04,321.29
21.69,-41.57,368.12
21.71,-44.16,408.41
21.73,-43.92,345.33
21.75,-42.48,373.23
21.77,-43.7,410.54
21.79,-43.52,289.12
21.81,-43.11,278.74
21.83,-42.75,291.52
21.85,-43.6,294.63
21.87,-43.13,211.45
21.89,-41.33,208.93
21.91,-41.92,283.51
21.93,-42.26,269.75
21.95,-42.44,292.73
21.97,-42.68,264.46
21.99,-42.61,248.86
22.01,-42.54,246.38
22.03,-41.86,310.57
22.05,-40.54,225.45
22.07,-43.26,251.43
22.09,-41.02,244.28
22.11,-43.26,280.82
22.13,-42.05,293.32
22.15,-40.97,277.07
22.17,-42.19,309.79
22.19,-41.52,242.27
22.21,-41.53,298.09
22.23,-41.17,248.2
22.25,-41.42,257.38
22.27,-42.33,312.19
22.29,-42.38,293.89
22.31,-43.06,305.62
22.33,-42.69,301.34
22.35,-41.02,277.49
22.37,-43.71,326.3
22.39,-42.42,321.56
22.41,-43.49,220.35
22.43,-42.29,224.32
22.45,-42.53,242.62
22.47,-41.86,217.86
22.49,-42.02,264.22
22.51,-43.96,310.45
22.53,-42.99,234.69
22.55,-42.83,251.66
22.57,-42.07,194.5
22.59,-42.32,232.36
22.61,-41.67,279.66
22.63,-42.78,316.61
22.65,-42.93,250.3
22.67,-43.01,266.9
22.69,-43.31,293.58
22.71,-42.74,234.39
22.73,-40.55,154.84
22.75,-40.84,244.63
22.77,-40.19,208.03
22.79,-42.56,245.13
22.81,-41.28,243.98
22.83,-42.2,260.78
22.85,-41.83,238.6
22.87,-43.67,289.9
22.89,-42.34,282.02
22.91,-41.06,127.94
22.93,-42.01,123.82
22.95,-40.34,116.14
22.97,-41.33,129.06
22.99,-41.81,153.8
23.01,-42.79,172.09
23.03,-42.05,219.16
23.05,-41.94,234.48
23.07,-42.19,241.79
23.09,-43.6,283.42
23.11,-43.03,285.93
23.13,-42.07,240.59
23.15,-41.83,250.91
23.17,-42.81,310.08
23.19,-41.45,246.98
23.21,-41.18,194.07
23.23,-41.92,141.01
23.25,-41.21,121.58
23.27,-40.32,102.02
23.29,-39.12,85.14
23.31,-40.34,57.89
23.33,-40.04,88.93
23.35,-41.22,128.44
23.37,-42.47,212.79
23.39,-42.81,346.65
23.41,-44.36,381.15
23.43,-42.78,457.74
23.45,-42.4,457.54
23.47,-41.89,555.91
23.49,-42.04,699.81
23.51,-44.65,547.61
23.53,-44.09,636.81
23.55,-44.64,568.82
23.57,-44.25,687.73
23.59,-41.78,631.04
23.61,-44.73,804.93
23.63,-44.65,545.37
23.65,-42.84,488.45
23.67,-43.09,631.41
23.69,-44.57,626.96
23.71,-45.3,573.23
23.73,-43.42,596.38
23.75,-41.53,492.55
23.77,-44.11,649.71
23.79,-43.96,586.77
23.81,-43.87,891.55
23.83,-44.11,733.98
23.85,-44.13,747.83
23.87,-43.67,641.85
23.89,-43.1,544.4
23.91,-43.53,645.31
23.93,-42.94,602.82
23.95,-44.46,690.55
23.97,-43.85,653.4
23.99,-40.94,584.07
24.01,-42.66,696.88
24.03,-42.51,687.36
24.05,-44.05,755.62
24.07,-44.08,761.73
24.09,-44.24,758.85
24.11,-42.93,806.52
24.13,-44.3,821.92
24.15,-43.07,532.17
24.17,-44.16,422.44
24.19,-42.3,315.02
24.21,-44.34,396.19
24.23,-44.51,419.66
24.25,-44.34,396.82
24.27,-43.58,421.52
24.29,-43.91,341.93
24.31,-41.79,229.99
24.33,-43.6,340.83
24.35,-43.14,338.33
24.37,-44.07,504.79
24.39,-43.9,466.4
24.41,-44.28,414.18
24.43,-42.27,359.72
24.45,-42.04,397.38
24.47,-44.64,379.6
24.49,-43,362.78
24.51,-42.92,287.43
24.53,-43.7,295.85
24.55,-43.76,313.44
24.57,-42.73,317.74
24.59,-42.03,274.06
24.61,-43.28,283.13
24.63,-42.79,352.43
24.65,-45.8,398.78
24.67,-43.65,459.98
24.69,-44.8,412.58
24.71,-42.5,447.66
24.73,-42.73,541.73
24.75,-43.04,435.03
24.77,-44.32,527.95
24.79,-43.24,493.99
24.81,-45.26,479.91
24.83,-44.3,500.08
24.85,-43.68,346.02
24.87,-44.13,365.51
24.89,-44.93,467.49
24.91,-44.74,483.49
24.93,-43.4,385.26
24.95,-41.88,321.54
24.97,-43.22,388.75
24.99,-42.68,295.64
25.01,-42.41,233.31
25.03,-43.53,232.15
25.05,-42.74,298.33
25.07,-43.65,354.92
25.09,-44.33,291.82
25.11,-44.11,333.66
25.13,-44.38,419.29
25.15,-43.04,495.73
25.17,-42.76,565.29
25.19,-43.1,619.67
25.21,-43.41,561.78
25.23,-42.34,577.42
25.25,-44.12,714.46
25.27,-43.08,551.3
25.29,-43.9,578.6
25.31,-43.12,604.69
25.33,-44.02,582.16
25.35,-43.42,600.56
25.37,-42.19,620.3
25.39,-43.48,606.83
25.41,-43.68,548.64
25.43,-45.1,673.34
25.45,-44.38,652.46
25.47,-45.3,605.19
25.49,-44.09,746
25.51,-42.36,810.32
25.53,-41.35,525.64
25.55,-42.66,625.33
25.57,-44.98,677.14
25.59,-43.59,673.14
25.61,-43.19,643.35
25.63,-43,711.58
25.65,-44.92,712.52
25.67,-44.5,853.87
25.69,-46.12,720.96
25.71,-43.73,785.97
25.73,-43.9,845.09
25.75,-45.21,799.78
25.77,-43.34,766.28
25.79,-43.44,748.53
25.81,-44.17,990.03
25.83,-43.92,817.11
25.85,-45.14,822.82
25.87,-44.36,656.35
25.89,-44.57,662.86
25.91,-44.52,678.31
25.93,-42.57,610.12
25.95,-43.2,608.04
25.97,-44.37,527.71
25.99,-42.56,370.68
26.01,-44.15,438.58
26.03,-45.66,457.64
26.05,-43.4,314.4
26.07,-42.39,327.6
26.09,-43.76,401.59
26.11,-41.94,368.18
26.13,-44.1,406.73
26.15,-42.57,272.65
26.17,-42.44,309.94
26.19,-41.67,260.1
26.21,-43.09,278.52
26.23,-42.25,222.01
26.25,-44.11,252.85
26.27,-43.25,259.36
26.29,-42.89,300.74
26.31,-43.2,271.88
26.33,-42.2,264.64
26.35,-42.78,311.6
26.37,-42.85,325.87
26.39,-41.77,353.84
26.41,-42.73,349.88
26.43,-42.86,341.7
26.45,-43.39,317.71
26.47,-43.25,385.97
26.49,-42.72,346.7
26.51,-44.74,313.26
26.53,-44.45,382.98
26.55,-46.5,394.59
26.57,-45.56,365.29
26.59,-43.3,306.24
26.61,-43.21,258.98
26.63,-44.21,281.32
26.65,-43.05,235.05
26.67,-43.1,314.06
26.69,-43.61,441.42
26.71,-43.11,325.35
26.73,-43.5,271.5
26.75,-44.52,267.89
26.77,-43.8,292.92
26.79,-44.37,357.01
26.81,-44.73,309.85
26.83,-42.88,420.3
26.85,-42.8,303.17
26.87,-44.66,345.75
26.89,-43.47,321.89
26.91,-43.15,340.47
26.93,-44.22,388.31
26.95,-43.1,240.66
26.97,-41.78,245.68
26.99,-43.71,262.4
27.01,-43.48,268.25
27.03,-43.97,195.46
27.05,-44.57,254.94
27.07,-43.98,179.69
27.09,-42.83,226.58
27.11,-42.44,210.55
27.13,-41.3,184.23
27.15,-44.38,215.23
27.17,-41.79,185.87
27.19,-43.28,216.73
27.21,-43.38,182.09
27.23,-43.18,207.9
27.25,-43.21,198.72
27.27,-43.05,206.45
27.29,-43.45,300.68
27.31,-43.11,240.65
27.33,-44.59,290.58
27.35,-43.25,269.52
27.37,-44.38,271.16
27.39,-43.68,224.62
27.41,-44.85,339.29
27.43,-44.91,257.4
27.45,-43.94,278.03
27.47,-44.48,285.57
27.49,-42.94,227.49
27.51,-42.51,245.15
27.53,-43.02,163.11
27.55,-41.7,136.94
27.57,-41.07,118.08
27.59,-40.94,104.43
27.61,-40.98,61.43
27.63,-39.39,55.56
27.65,-39.42,57.03
27.67,-40.29,64.72
27.69,-40.41,55.46
27.71,-38.85,56.03
27.73,-38.22,59.46
27.75,-38.37,55.96
27.77,-39.45,74.08
27.79,-43.78,240
27.81,-43.25,352.91
27.83,-44.26,314.03
27.85,-44.15,289.03
27.87,-41.96,289.28
27.89,-44.89,336.94
27.91,-44.57,338.18
27.93,-43.21,341.71
27.95,-43.7,401.94
27.97,-43.84,370.01
27.99,-44.04,342.09
28.01,-45,382.54
28.03,-44.93,375.15
28.05,-44.03,354.97
28.07,-44.76,426.47
28.09,-44.96,425.77
28.11,-43.75,446.39
28.13,-43.95,471.92
28.15,-43.11,385.45
28.17,-46.31,411.12
28.19,-43.66,380.88
28.21,-43.62,323.52
28.23,-44.79,408.3
28.25,-44.6,429.68
28.27,-44.88,429.87
28.29,-43.68,447.5
28.31,-42.03,352.81
28.33,-45.59,414.92
28.35,-44.61,524.22
28.37,-42.72,384.02
28.39,-44.88,567.91
28.41,-42.91,446.74
28.43,-43.39,408.85
28.45,-44.07,422.61
28.47,-44.38,449.03
28.49,-45.04,318.56
28.51,-43.32,301.24
28.53,-42.39,266.51
28.55,-43.94,266.48
28.57,-43.12,242.91
28.59,-42.97,217.26
28.61,-40.9,102.55
28.63,-40.74,84.06
28.65,-40.53,81.31
28.67,-40.22,75.7
28.69,-40.16,60.49
28.71,-41.11,71.17
28.73,-40.13,60.86
28.75,-40.79,63.64
28.77,-40.48,60.31
28.79,-38.61,63.79
28.81,-39.1,68.87
28.83,-39.6,60.19
28.85,-40.05,67.34
28.87,-40.01,61.66
28.89,-42.08,166.54
28.91,-43.87,270.08
28.93,-43.58,324.92
28.95,-43.09,345.92
28.97,-43.32,277.84
28.99,-45.33,335
29.01,-44.61,458.63
29.03,-43.98,350.55
29.05,-43.39,348.5
29.07,-43.78,378.55
29.09,-45.14,484.42
29.11,-43.98,381.37
29.13,-44.81,435.16
29.15,-42.94,382.06
29.17,-43.79,332.51
29.19,-45.29,392.68
29.21,-43.8,351.8
29.23,-42.9,391.24
29.25,-45.85,538.5
29.27,-44.03,516.53
29.29,-43.68,359.59
29.31,-44.5,472.19
29.33,-42.81,422.78
29.35,-44.93,511.62
29.37,-43.82,419.87
29.39,-43.21,640.73
29.41,-43.34,458.56
29.43,-43.94,374.27
29.45,-45.35,563.64
29.47,-44.65,451.66
29.49,-43.91,456.39
29.51,-46.39,550.63
29.53,-44.44,463.67
29.55,-44.04,594.43
29.57,-44.63,478.19
29.59,-45.87,556.48
29.61,-46.16,560.51
29.63,-44.51,482.56
29.65,-42.96,473.66
29.67,-44.89,753.53
29.69,-46.45,680.88
29.71,-44.22,505.32
29.73,-46.14,717.62
29.75,-44.55,467.21
29.77,-44.43,485.47
29.79,-43.55,422.07
29.81,-44.04,548.16
29.83,-45.21,593.74
29.85,-44.52,505.71
29.87,-43.73,659.42
29.89,-44.72,441.03
29.91,-44.45,604.04
29.93,-43.72,472.35
29.95,-44.62,556.32
29.97,-44.09,545.56
29.99,-43,469.97
30.01,-43.66,439.79
30.03,-45.51,529.38
30.05,-45.7,506.49
30.07,-43.86,496.7
30.09,-44.95,522.02
30.11,-46.24,459.23
30.13,-44.2,464.98
30.15,-45.05,578.77
30.17,-44.58,557.09
30.19,-43.05,540.53
30.21,-45.43,644.63
30.23,-44.56,554.23
30.25,-44.62,581.83
30.27,-45.28,504.8
30.29,-44.75,600.91
30.31,-44.93,779.47
30.33,-43.43,418.67
30.35,-44.32,497.27
30.37,-42.25,510.03
30.39,-43.93,551.22
30.41,-44.75,486.7
30.43,-44.93,461.02
30.45,-45.23,387.05
30.47,-44.74,308.28
30.49,-43.98,296.52
30.51,-43.49,457.99
30.53,-43.46,394.39
30.55,-44.24,352.94
30.57,-42.68,299.95
30.59,-44.23,323
30.61,-43.3,213.37
30.63,-43.8,205.49
30.65,-41.6,149.65
30.67,-42.42,162.07
30.69,-43.38,141.46
30.71,-42.22,106.78
30.73,-42.71,123.64
30.75,-42.04,102.04
30.77,-42.01,141.16
30.79,-44.02,164.37
30.81,-45.06,212.8
30.83,-42.83,219.4
30.85,-43.9,297.96
30.87,-42.45,367.6
30.89,-43.22,278.71
30.91,-43.72,260.82
30.93,-44.76,287.31
30.95,-45.4,390.14
30.97,-43.45,377.86
30.99,-44.38,391.09
31.01,-42.98,319.94
31.03,-44.92,370.32
31.05,-41.76,400.97
31.07,-44.26,406.49
31.09,-44.19,353.46
31.11,-44.13,413.75
31.13,-43.05,313.14
31.15,-43.6,336.38
31.17,-42.7,382.03
31.19,-45.17,440.24
31.21,-43.69,348.18
31.23,-44.26,402.23
31.25,-44.19,366.32
31.27,-43.68,271.44
31.29,-43.97,341.33
31.31,-42.79,351.01
31.33,-43.63,389.58
31.35,-43.68,323.37
31.37,-44.35,469.86
31.39,-45.21,419.06
31.41,-43.56,442.45
31.43,-43.08,301.57
31.45,-44.57,350.67
31.47,-41.63,396.42
31.49,-43.3,369.22
31.51,-45.41,439
31.53,-43.86,384.82
31.55,-43.38,336.75
31.57,-44.75,448.21
31.59,-43.32,364.24
31.61,-44,587.58
31.63,-44.18,442.83
31.65,-43.7,295.82
31.67,-44.29,331.47
31.69,-43.62,343.9
31.71,-43.22,334.51
31.73,-42.69,328.08
31.75,-43.12,285.27
31.77,-45.02,287.61
31.79,-43.24,220.5
31.81,-43.4,271.37
31.83,-43.52,206.52
31.85,-45.22,259.66
31.87,-42.81,194.42
31.89,-44.89,200.39
31.91,-42.74,189.99
31.93,-44.23,206.5
31.95,-43.49,183.99
31.97,-44.14,170.15
31.99,-42.57,144.11
32.01,-44.45,204.19
32.03,-43.86,180.02
32.05,-41.4,108.07
32.07,-41.73,85.85
32.09,-41.22,84.15
32.11,-42.79,98.01
32.13,-40.47,84.4
32.15,-41.05,87.34
32.17,-40.69,69.93
32.19,-40.85,66.14
32.21,-40.6,61.97
32.23,-39.86,64.72
32.25,-40.33,70.95
32.27,-40.71,54.63
32.29,-40.51,53.34
32.31,-40.7,60.14
32.33,-40.43,62.18
32.35,-40.42,65.49
32.37,-39.85,60.47
32.39,-39.05,64.2
32.41,-40.38,50.38
32.43,-39.63,63.79
32.45,-38.8,54.68
32.47,-38.89,53.34
32.49,-40.14,73.19
32.51,-42.38,163.13
32.53,-43.83,234.38
32.55,-43.5,236.78
32.57,-44.15,327.9
32.59,-43.76,335
32.61,-43.7,350.02
32.63,-43.34,346.4
32.65,-44.79,360.6
32.67,-43.27,305.85
32.69,-45.8,453.33
32.71,-44.58,322.63
32.73,-44.58,326.59
32.75,-43.08,288.53
32.77,-43.44,332.76
32.79,-45.03,376.81
32.81,-45.25,320.04
32.83,-44.83,311.11
32.85,-44.82,354.2
32.87,-45.77,356.29
32.89,-44.26,352.99
32.91,-44.07,355.81
32.93,-43.84,392.42
32.95,-42.09,406.67
32.97,-42.75,237.77
32.99,-44.29,343.11
33.01,-43.81,408.72
33.03,-43.81,365.22
33.05,-42.68,321.23
33.07,-43.89,402.02
33.09,-44.29,347.04
33.11,-44.16,455.51
33.13,-44.23,462.17
33.15,-43.28,314.49
33.17,-42.9,294.92
33.19,-42.66,291.04
33.21,-43.15,320.45
33.23,-44.73,391.64
33.25,-42.98,289.11
33.27,-43.44,356.15
33.29,-43.67,270.9
33.31,-45.86,277.49
33.33,-43.35,177.06
33.35,-43.35,185.61
33.37,-41.89,197.68
33.39,-41.15,138.23
33.41,-41.56,100.66
33.43,-40.97,83.32
33.45,-39.75,73.05
33.47,-40.07,59.09
33.49,-39.61,66.88
33.51,-40.43,73.94
33.53,-40.32,51.49
33.55,-38.91,58.8
33.57,-39.98,61.99
33.59,-39.96,57.13
33.61,-39.69,64.96
33.63,-39.93,68.15
33.65,-40.06,64.74
33.67,-38.58,54.96
33.69,-39.06,43.81
33.71,-39.84,48.51
33.73,-40.54,79.96
33.75,-41.82,173.68
33.77,-41.97,151.9
33.79,-42.06,162.85
33.81,-42.42,223.12
33.83,-42.38,263.07
33.85,-42.17,299.57
33.87,-44.09,284.26
33.89,-41.37,322.4
33.91,-43.38,279.79
33.93,-42.99,365.82
33.95,-42.8,314.3
33.97,-44.89,289.9
33.99,-42.84,293.86
34.01,-43.38,354.07
34.03,-42.27,277.93
34.05,-42.7,278.58
34.07,-43.04,271.53
34.09,-42.19,241.69
34.11,-43.32,266.5
34.13,-43.1,248.21
34.15,-42.14,224.24
34.17,-42.35,293.37
34.19,-43.36,236.46
34.21,-43.14,275.87
34.23,-41.84,244.43
34.25,-42.7,321.71
34.27,-42.3,282.23
34.29,-43.46,301.44
34.31,-44.06,285.87
34.33,-43.35,274.97
34.35,-42.36,257.07
34.37,-42.41,292.89
34.39,-44.39,379.86
34.41,-42.64,240.66
34.43,-43.17,279.29
34.45,-42.32,260.08
34.47,-42.01,210.1
34.49,-43.21,216.91
34.51,-42.71,187.11
34.53,-43.39,225.55
34.55,-43.94,300.56
34.57,-42.61,209.66
34.59,-43.08,271.81
34.61,-43.92,217.9
34.63,-43.51,177.6
34.65,-41.77,166.47
34.67,-41.32,148.81
34.69,-42.23,138.79
34.71,-43.1,138
34.73,-44.34,141.25
34.75,-40.91,66.16
34.77,-40.2,50.16
34.79,-39.36,52.89
34.81,-40.4,54.57
34.83,-40.99,66.7
34.85,-40.22,50.67
34.87,-40.35,58.05
34.89,-41.17,70.93
34.91,-40.44,75.32
34.93,-41.77,79.19
34.95,-40.08,61.44
34.97,-41.3,74.24
34.99,-41.05,68.95
35.01,-41.16,59.76
35.03,-40.04,63.57
35.05,-39.71,60.24
35.07,-39.07,46.35
35.09,-39.53,48.71
35.11,-40.02,43.1
35.13,-40.36,51.96
35.15,-39.75,50.99
35.17,-39.31,47.65
35.19,-40.11,56.98
35.21,-40.45,53.01
35.23,-38.75,53.06
35.25,-39.64,48.07
35.27,-39.31,48.56
35.29,-39.82,62.4
35.31,-39.21,43.38
35.33,-39.61,38.92
35.35,-38.49,43.47
35.37,-38.8,40.74
35.39,-39.46,47.62
35.41,-38.81,39.51
35.43,-38.25,30.94
35.45,-39.18,41.06
35.47,-39.46,60.04
35.49,-40.97,139.14
35.51,-42.74,218.2
35.53,-42.94,224.79
35.55,-44.65,298.3
35.57,-40.86,210.08
35.59,-43.17,276.61
35.61,-42.78,261.12
35.63,-42.89,287.43
35.65,-41.51,219.01
35.67,-42.96,247.13
35.69,-42.91,264.7
35.71,-41.75,214.56
35.73,-41.56,309.01
35.75,-41.31,223.78
35.77,-44,277.74
35.79,-43.1,261.39
35.81,-43.14,245.54
35.83,-44.04,297.8
35.85,-44.96,276.61
35.87,-44.37,266.88
35.89,-44.75,397.18
35.91,-43.88,320.5
35.93,-44.06,255.74
35.95,-41.75,273.6
35.97,-43.07,335.23
35.99,-42.42,348.99
36.01,-43.36,308.12
36.03,-43.33,253.53
36.05,-43.62,324.95
36.07,-43.21,310.54
36.09,-43.1,269.92
36.11,-43.11,247.47
36.13,-42.54,286.31
36.15,-43.06,306.38
36.17,-42.4,274.41
36.19,-40.66,405.01
36.21,-43.77,312.58
36.23,-42.71,339.11
36.25,-43.12,252.29
36.27,-43.16,300.3
36.29,-44.58,276.47
36.31,-42.32,253.68
36.33,-43.36,276.11
36.35,-41.14,206.5
36.37,-41.89,256.38
36.39,-42.5,237.14
36.41,-43.56,288.14
36.43,-42.04,248.14
36.45,-43.74,223.78
36.47,-41.81,214.47
36.49,-41.91,191.77
36.51,-41.39,199.96
36.53,-43.41,159.14
36.55,-42.99,186.08
36.57,-43.05,144.03
36.59,-42.38,160.59
36.61,-41.52,114.9
36.63,-41.91,88.03
36.65,-39.88,70.91
36.67,-40.2,59.86
36.69,-41.81,66.36
36.71,-41.09,70.71
36.73,-40.74,59.5
36.75,-41.34,53.94
36.77,-41.33,60.26
36.79,-41.23,82.56
36.81,-41.38,59.58
36.83,-39.92,63.38
36.85,-41.15,73.09
36.87,-41.21,82.63
36.89,-41.21,117.92
36.91,-41.5,107.39
36.93,-41.47,89.31
36.95,-42.17,72.06
36.97,-41.18,63.74
36.99,-41.03,75.03
37.01,-40.84,62.99
37.03,-41.2,55.53
37.05,-41.47,66.1
37.07,-40.7,73.77
37.09,-40.8,73.62
37.11,-41.31,83.19
37.13,-40.04,52.72
37.15,-40.53,65.04
37.17,-40.25,42.43
37.19,-39.92,41.1
37.21,-39.48,51.84
37.23,-39.69,40.33
37.25,-39.35,37.67
37.27,-40.4,40.33
37.29,-39.93,37.78
37.31,-39.41,38.65
37.33,-38.89,39.44
37.35,-39.43,45.8
37.37,-40.83,43.84
37.39,-40.19,48.32
37.41,-40.76,44.85
37.43,-39.05,43.27
37.45,-39.15,49.21
37.47,-38.74,40.41
37.49,-38.57,34.57
37.51,-39.31,44.67
37.53,-39.96,43.57
37.55,-38.57,43.47
37.57,-38.66,44.65
37.59,-38.48,39.04
37.61,-39.6,41.6
37.63,-39.02,38.23
37.65,-38.71,34.83
37.67,-39.18,42.06
37.69,-38.56,46.13
37.71,-38.72,41.34
37.73,-39.31,45.5
37.75,-38.74,50.38
37.77,-39.11,40.38
37.79,-38.91,45.13
37.81,-39.03,43.07
37.83,-39.37,44.35
37.85,-38.76,35.61
37.87,-39.66,44.07
37.89,-39.18,47.03
37.91,-38.92,44.51
37.93,-39.18,35.46
37.95,-38.96,46.1
37.97,-38.12,37.44
37.99,-39.07,39.25
38.01,-38.88,43.27
38.03,-38.16,39.67
38.05,-38.75,35.72
38.07,-39.01,48.91
38.09,-38.68,34.46
38.11,-38.2,36.65
38.13,-37.86,42.02
38.15,-38.21,36.18
38.17,-38.55,38.35
38.19,-37.56,35.61
38.21,-39.57,56.06
38.23,-42.1,166.66
38.25,-41.85,185.7
38.27,-42.11,152.4
38.29,-42.12,223.24
38.31,-42.05,232.06
38.33,-42.61,265.85
38.35,-43.28,230.54
38.37,-43.46,221.63
38.39,-41.5,249.98
38.41,-43.54,251.1
38.43,-39.93,205.52
38.45,-41.9,463.72
38.47,-43.59,349.55
38.49,-41.9,212.34
38.51,-41.44,240.32
38.53,-44.3,271.69
38.55,-42.96,254.3
38.57,-43.08,265.45
38.59,-41.78,215.41
38.61,-44.31,273.44
38.63,-42.16,266.39
38.65,-42.79,309.18
38.67,-42.7,268.7
38.69,-43.76,315.33
38.71,-44.41,304.53
38.73,-42.34,455.72
38.75,-43.45,309.56
38.77,-42.74,276.62
38.79,-44.21,315.37
38.81,-43.2,226.93
38.83,-43.36,316.68
38.85,-43.54,273.25
38.87,-42.43,265.82
38.89,-41.66,265.2
38.91,-42.85,256.88
38.93,-43.24,332.85
38.95,-41.33,279.07
38.97,-42.47,345.16
38.99,-41.71,291.75
39.01,-43.85,329.84
39.03,-44.43,281.69
39.05,-45.17,293.29
39.07,-42.07,337.67
39.09,-43.1,354.52
39.11,-44.61,355.77
39.13,-43.17,303.65
39.15,-43.69,271.85
39.17,-43.45,359.28
39.19,-42.3,337.18
39.21,-43.01,298.76
39.23,-44.16,319.51
39.25,-43.44,321.18
39.27,-44.23,361.39
39.29,-43.39,389.53
39.31,-42.58,393.77
39.33,-44.19,472.9
39.35,-42.37,398.92
39.37,-43.52,445.43
39.39,-43.76,323.91
39.41,-43.59,539.21
39.43,-41.9,313.82
39.45,-41.67,323.93
39.47,-44.66,442.03
39.49,-44.16,506.62
39.51,-44.37,478.94
39.53,-43.4,521.35
39.55,-42.23,429.15
39.57,-42.56,423.81
39.59,-41.71,344.65
39.61,-44.69,492.66
39.63,-43.45,487.74
39.65,-43.01,731.82
39.67,-42.35,386.55
39.69,-42.5,480.39
39.71,-43.11,408.44
39.73,-44.25,361.92
39.75,-42.15,430.05
39.77,-43.66,431.39
39.79,-42.31,407.25
39.81,-42.86,474.13
39.83,-44.08,462.56
39.85,-43.53,364.5
39.87,-43.53,400.3
39.89,-42.6,337
39.91,-42.21,305.38
39.93,-42.2,277.77
39.95,-42.17,200.75
39.97,-41.63,188.78
39.99,-40.84,122.8
40.01,-40.33,95.23
40.03,-40.84,79.41
40.05,-40.71,59.43
40.07,-40.49,58.66
40.09,-39.68,53.11
40.11,-40.58,70.15
40.13,-39.43,79
40.15,-40.85,108.69
40.17,-42.54,136.3
40.19,-43.71,234.67
40.21,-42.57,210.86
40.23,-42.11,273.79
40.25,-42.51,224.91
40.27,-42.07,247.87
40.29,-42.5,280.11
40.31,-42.13,218.42
40.33,-41.98,189.25
40.35,-42.4,205.41
40.37,-42.38,177.55
40.39,-41.77,232.64
40.41,-42.43,193.29
40.43,-42.25,224.71
40.45,-43,207.79
40.47,-42.07,225.66
40.49,-42.29,194.71
